Chip Run Info,C:\Users\Pierre\Desktop\hIPSC project\1362362586_plate1_hiPSC_lineage_6-4-18\ChipRun.bml,1362362586,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,6/04/2018 3:29:29 PM,01:53:03,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.3.1
Application Build,20170404.1035
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A01,H2O,Unknown,1,Zic3,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A02,H2O,Unknown,1,Sox2,Test,23.630845701814,0,Fail,0.0140148835713606,999,999,0
S96-A03,H2O,Unknown,1,Gsc,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A04,H2O,Unknown,1,AFP,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A05,H2O,Unknown,1,Gata4,Test,999,0,Fail,0.0140148835713606,62.6564661241764,999,1
S96-A06,H2O,Unknown,1,Fgf8,Test,38.3555330309449,0,Fail,0.0140148835713606,63.0759934298785,999,1
S96-A07,H2O,Unknown,1,Gata2,Test,28.4945254270948,0,Fail,0.0140148835713606,999,999,0
S96-A08,H2O,Unknown,1,Nkx2-5,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A09,H2O,Unknown,1,Comp,Test,29.6850470103681,0,Fail,0.0140148835713606,999,999,0
S96-A10,H2O,Unknown,1,Olig2,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A11,H2O,Unknown,1,Gfap,Test,28.7629366501764,0,Fail,0.0140148835713606,999,999,0
S96-A12,H2O,Unknown,1,TH,Test,28.3762150805234,0,Fail,0.0140148835713606,999,999,0
S96-A13,H2O,Unknown,1,Dppa4,Test,25.3968464632216,0.447067382787397,Fail,0.0140148835713606,63.469348706863,999,1
S96-A14,H2O,Unknown,1,Zfp42,Test,38.5,0,Fail,0.0140148835713606,64.0261767772583,999,1
S96-A15,H2O,Unknown,1,Tdgf1,Test,31.6103009720004,0,Fail,0.0140148835713606,65.0791257381881,999,1
S96-A16,H2O,Unknown,1,Cdx2,Test,20.6754754139552,0,Fail,0.0140148835713606,999,999,0
S96-A17,H2O,Unknown,1,Pecam1,Test,38.431334639932,0,Fail,0.0140148835713606,999,999,0
S96-A18,H2O,Unknown,1,Nod2,Test,25.706538832793,0.353379193361454,Fail,0.0140148835713606,62.9911895252502,999,1
S96-A19,H2O,Unknown,1,Hand1,Test,38.1345491164176,0,Fail,0.0140148835713606,62.9276795570771,999,1
S96-A20,H2O,Unknown,1,Pdgfra,Test,22.8407419791255,0,Fail,0.0140148835713606,999,999,0
S96-A21,H2O,Unknown,1,Ccr5,Test,21.2604684675911,0,Fail,0.0140148835713606,999,999,0
S96-A22,H2O,Unknown,1,Chat,Test,29.8903942616271,0.835304240554926,Pass,0.0140148835713606,62.9719409707872,999,1
S96-A23,H2O,Unknown,1,Tubb3,Test,34.6549673007087,0.542947271063071,Fail,0.0140148835713606,63.4914138556582,999,1
S96-A24,H2O,Unknown,1,Gapdh,Test,24.5072994212441,0,Fail,0.0140148835713606,999,999,0
S96-A25,H2O,Unknown,1,Fgf5,Test,35.958779523453,0.884832445992163,Pass,0.0140148835713606,62.8458074164682,999,1
S96-A26,H2O,Unknown,1,T,Test,24.9678148365204,0.165843117644191,Fail,0.0140148835713606,63.2725095189744,999,1
S96-A27,H2O,Unknown,1,Axin2,Test,32.9479019828878,0,Fail,0.0140148835713606,999,999,0
S96-A28,H2O,Unknown,1,Gcg,Test,22.1291449158775,0,Fail,0.0140148835713606,999,999,0
S96-A29,H2O,Unknown,1,Hnf4a,Test,22.4504920902218,0.549127607477656,Fail,0.0140148835713606,62.9974588639724,999,1
S96-A30,H2O,Unknown,1,Cxcr4,Test,35.8980454401953,0.410715083647035,Fail,0.0140148835713606,62.9400631962889,999,1
S96-A31,H2O,Unknown,1,Hand2,Test,26.1293563280476,0,Fail,0.0140148835713606,999,999,0
S96-A32,H2O,Unknown,1,Runx1,Test,25.2783088936851,0,Fail,0.0140148835713606,999,999,0
S96-A33,H2O,Unknown,1,Krt10,Test,30.9802231903802,0.831422472265314,Pass,0.0140148835713606,78.2054095395532,999,1
S96-A34,H2O,Unknown,1,Foxd3,Test,29.7622925277533,0.509124748067698,Fail,0.0140148835713606,64.9755982950287,999,1
S96-A35,H2O,Unknown,1,Gad1,Test,25.7126544361734,0,Fail,0.0140148835713606,999,999,0
S96-A36,H2O,Unknown,1,Actb,Test,23.8724642530893,0,Fail,0.0140148835713606,999,999,0
S96-A37,H2O,Unknown,1,Klf2,Test,34.5,0,Fail,0.0140148835713606,999,999,0
S96-A38,H2O,Unknown,1,Mixl1,Test,21.2823080984515,0,Fail,0.0140148835713606,999,999,0
S96-A39,H2O,Unknown,1,Tbx6,Test,38.5990759334246,0,Fail,0.0140148835713606,62.9922690368167,999,1
S96-A40,H2O,Unknown,1,Shh,Test,38.5,0,Fail,0.0140148835713606,63.3047970578177,999,1
S96-A41,H2O,Unknown,1,Lgr5,Test,28.0406002949055,0.313796859648804,Fail,0.0140148835713606,64.1255061930436,999,1
S96-A42,H2O,Unknown,1,Bmp4,Test,25.2193670210015,0.223130830949453,Fail,0.0140148835713606,70.4018319513791,999,1
S96-A43,H2O,Unknown,1,Myh1,Test,999,0,Fail,0.0140148835713606,64.164351958196,999,1
S96-A44,H2O,Unknown,1,Myl3,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A45,H2O,Unknown,1,Zic1,Test,38.4086791147176,0,Fail,0.0140148835713606,63.0002121727931,999,1
S96-A46,H2O,Unknown,1,Pax6,Test,38.155248694637,0,Fail,0.0140148835713606,64.9762400416396,999,1
S96-A47,H2O,Unknown,1,L1cam,Test,23.3154537135711,0.22767443084969,Fail,0.0140148835713606,63.6111979195294,999,1
S96-A48,H2O,Unknown,1,TBP,Test,22.7090916606208,0,Fail,0.0140148835713606,999,999,0
S96-A54,H2O,Unknown,1,Col10a1,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A53,H2O,Unknown,1,Dcn,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A52,H2O,Unknown,1,Hhex,Test,17.7197922692574,0.483907669716339,Fail,0.0140148835713606,80.1533067105956,999,1
S96-A51,H2O,Unknown,1,Foxa2,Test,19.1537411070938,0,Fail,0.0140148835713606,999,999,0
S96-A50,H2O,Unknown,1,Wnt3a,Test,19.7896471024428,0.668967120317735,Pass,0.0140148835713606,78.894919615664,999,1
S96-A49,H2O,Unknown,1,Klf4,Test,19.333771884087,0,Fail,0.0140148835713606,999,999,0
S96-A60,H2O,Unknown,1,Gusb,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A59,H2O,Unknown,1,Sox1,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A58,H2O,Unknown,1,Vim,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A57,H2O,Unknown,1,Fabp7,Test,22.0884116566981,0.599752022748126,Fail,0.0140148835713606,79.6997220071475,999,1
S96-A56,H2O,Unknown,1,Myh7,Test,21.4583751845707,0,Fail,0.0140148835713606,999,999,0
S96-A55,H2O,Unknown,1,Igf2,Test,24.0664986938261,0,Fail,0.0140148835713606,999,999,0
S96-A66,H2O,Unknown,1,Ctsk,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A65,H2O,Unknown,1,Apoh,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A64,H2O,Unknown,1,Ins,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A63,H2O,Unknown,1,Sox17,Test,18.9807324947495,0,Fail,0.0140148835713606,999,999,0
S96-A62,H2O,Unknown,1,Nodal,Test,18.4283283224198,0,Fail,0.0140148835713606,999,999,0
S96-A61,H2O,Unknown,1,Nanog,Test,22.4446838870074,0,Fail,0.0140148835713606,999,999,0
S96-A72,H2O,Unknown,1,B2m,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A71,H2O,Unknown,1,Otx2,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A70,H2O,Unknown,1,Pou4f1,Test,999,0,Fail,0.0140148835713606,999,999,0
