Chip Run Info,C:\Users\posteil\Desktop\hIPSC project\OMIC\Data\Biomark on cohort\16-8-19 MixL1KO and IO Human cell lineage markers\ChipRun.bml,1362362587,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,16/08/2019 4:08:51 PM,01:53:06,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.5.2
Application Build,20180628.1231
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A01,H20,Unknown,1,Zic3,Test,16.3655913063032,0,Flag,0.0137889310993103,999,999,0
S96-A02,H20,Unknown,1,Sox2,Test,999,0,Flag,0.0137889310993103,999,999,0
S96-A03,H20,Unknown,1,Gsc,Test,999,0,Flag,0.0137889310993103,999,999,0
S96-A04,H20,Unknown,1,AFP,Test,999,0,Flag,0.0137889310993103,999,999,0
S96-A05,H20,Unknown,1,Gata4,Test,25.8834245419469,0,Flag,0.0137889310993103,999,999,0
S96-A06,H20,Unknown,1,Fgf8,Test,999,0,Flag,0.0137889310993103,999,999,0
S96-A07,H20,Unknown,1,Gata2,Test,999,0,Flag,0.0137889310993103,999,999,0
S96-A08,H20,Unknown,1,Nkx2-5,Test,999,0,Flag,0.0137889310993103,999,999,0
S96-A09,H20,Unknown,1,Comp,Test,29.8509755607484,0,Flag,0.0137889310993103,999,999,0
S96-A10,H20,Unknown,1,Olig2,Test,999,0,Flag,0.0137889310993103,999,999,0
S96-A11,H20,Unknown,1,Gfap,Test,29.6863258951056,0,Flag,0.0137889310993103,999,999,0
S96-A12,H20,Unknown,1,TH,Test,30.6683932892609,0,Flag,0.0137889310993103,999,999,0
S96-A13,H20,Unknown,1,Dppa4,Test,30.5399696688604,0,Flag,0.0137889310993103,999,999,0
S96-A14,H20,Unknown,1,Zfp42,Test,24.0667389272641,0,Flag,0.0137889310993103,999,999,0
S96-A15,H20,Unknown,1,Tdgf1,Test,25.2038881296206,0,Flag,0.0137889310993103,999,999,0
S96-A16,H20,Unknown,1,Cdx2,Test,22.2159989875653,0,Flag,0.0137889310993103,999,999,0
S96-A17,H20,Unknown,1,Pecam1,Test,26.0620441235458,0,Flag,0.0137889310993103,999,999,0
S96-A18,H20,Unknown,1,Nod2,Test,999,0,Flag,0.0137889310993103,999,999,0
S96-A19,H20,Unknown,1,Hand1,Test,27.6677764858725,0,Flag,0.0137889310993103,999,999,0
S96-A20,H20,Unknown,1,Pdgfra,Test,33.8712898082182,0,Flag,0.0137889310993103,999,999,0
S96-A21,H20,Unknown,1,Ccr5,Test,24.8326129661379,0,Flag,0.0137889310993103,999,999,0
S96-A22,H20,Unknown,1,Chat,Test,27.2937130767631,0,Flag,0.0137889310993103,999,999,0
S96-A23,H20,Unknown,1,Tubb3,Test,21.3460635213349,0,Flag,0.0137889310993103,999,999,0
S96-A24,H20,Unknown,1,Gapdh,Test,15.4960849019868,0,Flag,0.0137889310993103,999,999,0
S96-A25,H20,Unknown,1,Fgf5,Test,24.3994102971585,0,Flag,0.0137889310993103,999,999,0
S96-A26,H20,Unknown,1,T,Test,23.0868220822606,0,Flag,0.0137889310993103,999,999,0
S96-A27,H20,Unknown,1,Axin2,Test,25.1974230489771,0,Flag,0.0137889310993103,999,999,0
S96-A28,H20,Unknown,1,Gcg,Test,22.4408698004457,0,Flag,0.0137889310993103,999,999,0
S96-A29,H20,Unknown,1,Hnf4a,Test,22.2687051583166,0,Flag,0.0137889310993103,999,999,0
S96-A30,H20,Unknown,1,Cxcr4,Test,17.9111968242415,0,Flag,0.0137889310993103,999,999,0
S96-A31,H20,Unknown,1,Hand2,Test,16.1709871897144,0,Flag,0.0137889310993103,999,999,0
S96-A32,H20,Unknown,1,Runx1,Test,23.5706541342933,0,Flag,0.0137889310993103,999,999,0
S96-A33,H20,Unknown,1,Krt10,Test,22.5815252869164,0,Flag,0.0137889310993103,999,999,0
S96-A34,H20,Unknown,1,Foxd3,Test,24.8833902368367,0,Flag,0.0137889310993103,999,999,0
S96-A35,H20,Unknown,1,Gad1,Test,26.2016943833396,0,Flag,0.0137889310993103,999,999,0
S96-A36,H20,Unknown,1,Actb,Test,24.4317065170193,0,Flag,0.0137889310993103,999,999,0
S96-A37,H20,Unknown,1,Klf2,Test,23.1989399224813,0,Flag,0.0137889310993103,999,999,0
S96-A38,H20,Unknown,1,Mixl1,Test,15.4045050012444,0,Flag,0.0137889310993103,999,999,0
S96-A39,H20,Unknown,1,Tbx6,Test,19.3102411436445,0,Flag,0.0137889310993103,999,999,0
S96-A40,H20,Unknown,1,Shh,Test,24.0002162007664,0,Flag,0.0137889310993103,999,999,0
S96-A41,H20,Unknown,1,Lgr5,Test,23.495857634562,0.174093089440832,Flag,0.0137889310993103,67.5917889639116,999,1
S96-A42,H20,Unknown,1,Bmp4,Test,23.5141472676253,0,Flag,0.0137889310993103,999,999,0
S96-A43,H20,Unknown,1,Myh1,Test,29.7973474737186,0,Flag,0.0137889310993103,999,999,0
S96-A44,H20,Unknown,1,Myl3,Test,19.6216258938271,0,Flag,0.0137889310993103,999,999,0
S96-A45,H20,Unknown,1,Zic1,Test,29.2402107100094,0,Flag,0.0137889310993103,999,999,0
S96-A46,H20,Unknown,1,Pax6,Test,38.4907508690451,0,Flag,0.0137889310993103,999,999,0
S96-A47,H20,Unknown,1,L1cam,Test,24.6833069170682,0,Flag,0.0137889310993103,999,999,0
S96-A48,H20,Unknown,1,TBP,Test,17.20878043493,0.629378479728544,Flag,0.0137889310993103,80.9443971298897,999,1
S96-A54,H20,Unknown,1,Col10a1,Test,17.397790936983,0,Flag,0.0137889310993103,999,999,0
S96-A53,H20,Unknown,1,Dcn,Test,18.2316938172446,0.403009187905447,Flag,0.0137889310993103,81.2915731680961,999,1
S96-A52,H20,Unknown,1,Hhex,Test,19.0475850652223,0.3802794900651,Flag,0.0137889310993103,79.6940858982714,999,1
S96-A51,H20,Unknown,1,Foxa2,Test,19.0817381023537,0,Flag,0.0137889310993103,999,999,0
S96-A50,H20,Unknown,1,Wnt3a,Test,18.8586144582722,0,Flag,0.0137889310993103,999,999,0
S96-A49,H20,Unknown,1,Klf4,Test,17.0839366822458,0,Flag,0.0137889310993103,999,999,0
S96-A60,H20,Unknown,1,Gusb,Test,15.5724889645432,0.641039016870798,Flag,0.0137889310993103,80.2585507126462,999,1
S96-A59,H20,Unknown,1,Sox1,Test,16.9181760737662,0.472026637367356,Flag,0.0137889310993103,80.8343792742554,999,1
S96-A58,H20,Unknown,1,Vim,Test,15.9934778071506,0.598241983253935,Flag,0.0137889310993103,81.2503015186054,999,1
S96-A57,H20,Unknown,1,Fabp7,Test,17.6901438016674,0.54197655026442,Flag,0.0137889310993103,78.6673155333882,999,1
S96-A56,H20,Unknown,1,Myh7,Test,18.3598972079714,0,Flag,0.0137889310993103,999,999,0
S96-A55,H20,Unknown,1,Igf2,Test,15.855402234055,0.476588154334103,Flag,0.0137889310993103,79.0893826608429,999,1
S96-A66,H20,Unknown,1,Ctsk,Test,17.402871324363,0.542243699288781,Flag,0.0137889310993103,79.6998866125072,999,1
S96-A65,H20,Unknown,1,Apoh,Test,17.5964560511792,0,Flag,0.0137889310993103,999,999,0
S96-A64,H20,Unknown,1,Ins,Test,16.9127386754852,0,Flag,0.0137889310993103,999,999,0
S96-A63,H20,Unknown,1,Sox17,Test,15.4515271744438,0,Flag,0.0137889310993103,999,999,0
S96-A62,H20,Unknown,1,Nodal,Test,15.298210518133,0,Flag,0.0137889310993103,999,999,0
S96-A61,H20,Unknown,1,Nanog,Test,16.7355272679501,0.507278625493417,Flag,0.0137889310993103,79.7459752777683,999,1
S96-A72,H20,Unknown,1,B2m,Test,14.9389820934363,0.600654268173159,Flag,0.0137889310993103,80.0042516972607,999,1
S96-A71,H20,Unknown,1,Otx2,Test,14.5468098826082,0.611407645247962,Flag,0.0137889310993103,80.3250619818956,999,1
S96-A70,H20,Unknown,1,Pou4f1,Test,17.0872862967659,0,Flag,0.0137889310993103,999,999,0
S96-A69,H20,Unknown,1,Dcx,Test,18.0850363232497,0.405893276522589,Flag,0.0137889310993103,79.06959293765,999,1
