Chip Run Info,C:\Users\Pierre\Desktop\hIPSC project\1362362588_plate2_v2_human_lineage_10-4-18\ChipRun.bml,1362362588,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,10/04/2018 3:51:47 PM,01:54:01,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.3.1
Application Build,20170404.1035
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A01,H2O,Unknown,1,Zic3,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A02,H2O,Unknown,1,Sox2,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A03,H2O,Unknown,1,Gsc,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A04,H2O,Unknown,1,AFP,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A05,H2O,Unknown,1,Gata4,Test,26.9919253635847,1,Pass,0.0113351551779112,88.0784637008433,999,1
S96-A06,H2O,Unknown,1,Fgf8,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A07,H2O,Unknown,1,Gata2,Test,35.8099326853066,0.680165541327975,Pass,0.0113351551779112,84.5512127606493,999,1
S96-A08,H2O,Unknown,1,Nkx2-5,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A09,H2O,Unknown,1,Comp,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A10,H2O,Unknown,1,Olig2,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A11,H2O,Unknown,1,Gfap,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A12,H2O,Unknown,1,TH,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A13,H2O,Unknown,1,Dppa4,Test,33.220804287247,1,Pass,0.0113351551779112,75.940184525258,999,1
S96-A14,H2O,Unknown,1,Zfp42,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A15,H2O,Unknown,1,Tdgf1,Test,26.6299436227272,1,Pass,0.0113351551779112,83.0765328339694,999,1
S96-A16,H2O,Unknown,1,Cdx2,Test,36.8368819543746,0,Fail,0.0113351551779112,999,999,0
S96-A17,H2O,Unknown,1,Pecam1,Test,29.1085571475208,0.738298648772317,Pass,0.0113351551779112,83.7148208077107,999,1
S96-A18,H2O,Unknown,1,Nod2,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A19,H2O,Unknown,1,Hand1,Test,38.8182828302318,0,Fail,0.0113351551779112,999,999,0
S96-A20,H2O,Unknown,1,Pdgfra,Test,30.6729123646892,0.962674859480481,Pass,0.0113351551779112,76.175718787469,999,1
S96-A21,H2O,Unknown,1,Ccr5,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A22,H2O,Unknown,1,Chat,Test,29.6671046822855,1,Pass,0.0113351551779112,80.2066705033702,999,1
S96-A23,H2O,Unknown,1,Tubb3,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A24,H2O,Unknown,1,Gapdh,Test,33.448714090632,0.908585480557591,Pass,0.0113351551779112,84.9356236807085,999,1
S96-A25,H2O,Unknown,1,Fgf5,Test,24.6445289942667,1,Pass,0.0113351551779112,73.2128086527747,999,1
S96-A26,H2O,Unknown,1,T,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A27,H2O,Unknown,1,Axin2,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A28,H2O,Unknown,1,Gcg,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A29,H2O,Unknown,1,Hnf4a,Test,19.7345090098843,0.79279079385233,Pass,0.0113351551779112,85.8493394967683,999,1
S96-A30,H2O,Unknown,1,Cxcr4,Test,36.9580273982613,1,Pass,0.0113351551779112,74.6250924153888,999,1
S96-A31,H2O,Unknown,1,Hand2,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A32,H2O,Unknown,1,Runx1,Test,32.2605718191164,1,Pass,0.0113351551779112,70.0515023112979,999,1
S96-A33,H2O,Unknown,1,Krt10,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A34,H2O,Unknown,1,Foxd3,Test,29.2328359316983,0.971145668511342,Pass,0.0113351551779112,81.8207126541576,999,1
S96-A35,H2O,Unknown,1,Gad1,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A36,H2O,Unknown,1,Actb,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A37,H2O,Unknown,1,Klf2,Test,27.4134692556556,0.738638531788083,Pass,0.0113351551779112,87.5113193387491,999,1
S96-A38,H2O,Unknown,1,Mixl1,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A39,H2O,Unknown,1,Tbx6,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A40,H2O,Unknown,1,Shh,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A41,H2O,Unknown,1,Lgr5,Test,30.1982685043835,1,Pass,0.0113351551779112,77.8207447347879,999,1
S96-A42,H2O,Unknown,1,Bmp4,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A43,H2O,Unknown,1,Myh1,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A44,H2O,Unknown,1,Myl3,Test,33.1128136413431,1,Pass,0.0113351551779112,75.5191825757063,999,1
S96-A45,H2O,Unknown,1,Zic1,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A46,H2O,Unknown,1,Pax6,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A47,H2O,Unknown,1,L1cam,Test,30.4477350799557,0.923809241215072,Pass,0.0113351551779112,74.7283292033684,999,1
S96-A48,H2O,Unknown,1,TBP,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A54,H2O,Unknown,1,Col10a1,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A53,H2O,Unknown,1,Dcn,Test,31.4972651537812,1,Pass,0.0113351551779112,77.0407761173973,999,1
S96-A52,H2O,Unknown,1,Hhex,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A51,H2O,Unknown,1,Foxa2,Test,23.414021656082,1,Pass,0.0113351551779112,75.2073886406987,999,1
S96-A50,H2O,Unknown,1,Wnt3a,Test,35.4108716711752,0.748996620510761,Pass,0.0113351551779112,86.905151797434,999,1
S96-A49,H2O,Unknown,1,Klf4,Test,36.7983552743536,1,Pass,0.0113351551779112,75.7207836852953,999,1
S96-A60,H2O,Unknown,1,Gusb,Test,36.6975508421191,1,Pass,0.0113351551779112,71.9907503675867,999,1
S96-A59,H2O,Unknown,1,Sox1,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A58,H2O,Unknown,1,Vim,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A57,H2O,Unknown,1,Fabp7,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A56,H2O,Unknown,1,Myh7,Test,32.078509705345,1,Pass,0.0113351551779112,74.9536110230474,999,1
S96-A55,H2O,Unknown,1,Igf2,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A66,H2O,Unknown,1,Ctsk,Test,37.6492917851963,0,Fail,0.0113351551779112,999,999,0
S96-A65,H2O,Unknown,1,Apoh,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A64,H2O,Unknown,1,Ins,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A63,H2O,Unknown,1,Sox17,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A62,H2O,Unknown,1,Nodal,Test,26.9276990307848,1,Pass,0.0113351551779112,76.9005236688574,999,1
S96-A61,H2O,Unknown,1,Nanog,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A72,H2O,Unknown,1,B2m,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A71,H2O,Unknown,1,Otx2,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A70,H2O,Unknown,1,Pou4f1,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A69,H2O,Unknown,1,Dcx,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A68,H2O,Unknown,1,Cd34,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A67,H2O,Unknown,1,Smtn,Test,18.0606001309108,0.752290369341595,Pass,0.0113351551779112,87.082065144056,999,1
