Chip Run Info,G:\Lab 5 Image Data\Project and data\hIPSC\Differentiation\DE Diff\RT_and_qPCR\BioMark\UQ hepatocyte BioMark\1362419391_23-10-19_hepatocyte\ChipRun.bml,1362419391,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,23/10/2019 3:40:17 PM,01:53:50,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.5.2
Application Build,20180628.1231
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A01,MB3 day2 A (C9)*,Unknown,1,Zic3,Test,19.0174596178838,0.977600560020502,Pass,0.0128092640861449,86.8644033786075,999,1
S96-A02,MB3 day2 A (C9)*,Unknown,1,Sox2,Test,22.9575215067711,1,Pass,0.0128092640861449,79.0744852325644,999,1
S96-A03,MB3 day2 A (C9)*,Unknown,1,Gsc,Test,16.3097497920472,1,Pass,0.0128092640861449,85.19989407315,999,1
S96-A04,MB3 day2 A (C9)*,Unknown,1,AFP,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A05,MB3 day2 A (C9)*,Unknown,1,Gata4,Test,18.8246683631531,1,Pass,0.0128092640861449,86.4554196575834,999,1
S96-A06,MB3 day2 A (C9)*,Unknown,1,A1AT,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A07,MB3 day2 A (C9)*,Unknown,1,PXR,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A08,MB3 day2 A (C9)*,Unknown,1,Gata2,Test,23.9542993856026,1,Pass,0.0128092640861449,81.6786682562992,999,1
S96-A09,MB3 day2 A (C9)*,Unknown,1,Nkx2-5,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A10,MB3 day2 A (C9)*,Unknown,1,Zic1,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A11,MB3 day2 A (C9)*,Unknown,1,Fabp7,Test,19.10408743759,1,Pass,0.0128092640861449,78.6594942385911,999,1
S96-A12,MB3 day2 A (C9)*,Unknown,1,Dcx,Test,24.0585558339363,0.999958407692327,Pass,0.0128092640861449,79.1772780833253,999,1
S96-A13,MB3 day2 A (C9)*,Unknown,1,Dppa4,Test,33.8931636712614,0.959923537137442,Pass,0.0128092640861449,80.0079928161047,999,1
S96-A14,MB3 day2 A (C9)*,Unknown,1,Zfp42,Test,18.8110925379166,1,Pass,0.0128092640861449,76.6077989946895,999,1
S96-A15,MB3 day2 A (C9)*,Unknown,1,Tdgf1,Test,15.5201741382491,1,Pass,0.0128092640861449,86.6216486923383,999,1
S96-A16,MB3 day2 A (C9)*,Unknown,1,Cdx2,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A17,MB3 day2 A (C9)*,Unknown,1,Pecam1,Test,18.555748430704,1,Pass,0.0128092640861449,77.2293935457097,999,1
S96-A18,MB3 day2 A (C9)*,Unknown,1,ADH1B,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A19,MB3 day2 A (C9)*,Unknown,1,CEPBA,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A20,MB3 day2 A (C9)*,Unknown,1,Hand1,Test,31.7761043992011,1,Pass,0.0128092640861449,75.883298214088,999,1
S96-A21,MB3 day2 A (C9)*,Unknown,1,Pdgfra,Test,18.4015721549811,1,Pass,0.0128092640861449,80.1257641090599,999,1
S96-A22,MB3 day2 A (C9)*,Unknown,1,Chat,Test,34.4062526035501,0.963720798338944,Pass,0.0128092640861449,79.1034709168867,999,1
S96-A23,MB3 day2 A (C9)*,Unknown,1,Tubb3,Test,18.1071576150309,1,Pass,0.0128092640861449,89.7927062941252,999,1
S96-A24,MB3 day2 A (C9)*,Unknown,1,Nes,Test,19.9196938652845,1,Pass,0.0128092640861449,84.8400590203099,999,1
S96-A25,MB3 day2 A (C9)*,Unknown,1,Fgf5,Test,21.3650613411353,1,Pass,0.0128092640861449,73.1599463871302,999,1
S96-A26,MB3 day2 A (C9)*,Unknown,1,T,Test,21.5109680615902,1,Pass,0.0128092640861449,77.6629600110338,999,1
S96-A27,MB3 day2 A (C9)*,Unknown,1,Axin2,Test,19.1736836145788,1,Pass,0.0128092640861449,83.3182074201547,999,1
S96-A28,MB3 day2 A (C9)*,Unknown,1,Shh,Test,23.053602939616,1,Pass,0.0128092640861449,84.6884476566222,999,1
S96-A29,MB3 day2 A (C9)*,Unknown,1,Hnf4a,Test,21.2718449807052,1,Pass,0.0128092640861449,85.1506023964274,999,1
S96-A30,MB3 day2 A (C9)*,Unknown,1,CYP3A4,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A31,MB3 day2 A (C9)*,Unknown,1,HLF,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A32,MB3 day2 A (C9)*,Unknown,1,Hand2,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A33,MB3 day2 A (C9)*,Unknown,1,Runx1,Test,24.4852724023382,1,Pass,0.0128092640861449,79.6577283686979,999,1
S96-A34,MB3 day2 A (C9)*,Unknown,1,Foxd3,Test,23.0143945009754,0.996229131837324,Pass,0.0128092640861449,82.1932977239075,999,1
S96-A35,MB3 day2 A (C9)*,Unknown,1,Gad1,Test,28.0520147963056,0.979033209035282,Pass,0.0128092640861449,88.8815961524726,999,1
S96-A36,MB3 day2 A (C9)*,Unknown,1,TH,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A37,MB3 day2 A (C9)*,Unknown,1,Klf2,Test,22.9347249255875,1,Pass,0.0128092640861449,86.013896040081,999,1
S96-A38,MB3 day2 A (C9)*,Unknown,1,Mixl1,Test,16.9888810058391,1,Pass,0.0128092640861449,88.0190262273327,999,1
S96-A39,MB3 day2 A (C9)*,Unknown,1,Tbx6,Test,19.869365422527,1,Pass,0.0128092640861449,82.6959826360719,999,1
S96-A40,MB3 day2 A (C9)*,Unknown,1,Hhex,Test,16.8327329823673,1,Pass,0.0128092640861449,80.1524216861601,999,1
S96-A41,MB3 day2 A (C9)*,Unknown,1,Lgr5,Test,22.6418427794276,1,Pass,0.0128092640861449,78.9699929472317,999,1
S96-A42,MB3 day2 A (C9)*,Unknown,1,CYP3A7,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A43,MB3 day2 A (C9)*,Unknown,1,CYP1A2,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A44,MB3 day2 A (C9)*,Unknown,1,Igf2,Test,23.5255287227686,1,Pass,0.0128092640861449,87.0726992520052,999,1
S96-A45,MB3 day2 A (C9)*,Unknown,1,Myl3,Test,24.1231769067712,1,Pass,0.0128092640861449,76.1815592212038,999,1
S96-A46,MB3 day2 A (C9)*,Unknown,1,Pax6,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A47,MB3 day2 A (C9)*,Unknown,1,L1cam,Test,22.7190840042086,1,Pass,0.0128092640861449,86.3685697044547,999,1
S96-A48,MB3 day2 A (C9)*,Unknown,1,Gapdh,Test,12.8896646840518,1,Pass,0.0128092640861449,83.1341944374259,999,1
S96-A54,MB3 day2 A (C9)*,Unknown,1,CYP3A1,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A53,MB3 day2 A (C9)*,Unknown,1,Dcn,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A52,MB3 day2 A (C9)*,Unknown,1,Pdx1,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A51,MB3 day2 A (C9)*,Unknown,1,Foxa2,Test,20.2798268181997,1,Pass,0.0128092640861449,86.7287727810607,999,1
S96-A50,MB3 day2 A (C9)*,Unknown,1,Wnt3a,Test,23.4596611419169,1,Pass,0.0128092640861449,89.982811878677,999,1
S96-A49,MB3 day2 A (C9)*,Unknown,1,Klf4,Test,22.5814889158128,1,Pass,0.0128092640861449,84.2170531503869,999,1
S96-A60,MB3 day2 A (C9)*,Unknown,1,Actb,Test,11.5702881890819,1,Pass,0.0128092640861449,82.6809568111116,999,1
S96-A59,MB3 day2 A (C9)*,Unknown,1,Sox1,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A58,MB3 day2 A (C9)*,Unknown,1,Vim,Test,13.9661017239994,1,Pass,0.0128092640861449,82.0721917353104,999,1
