Chip Run Info,C:\Users\Osteil\Desktop\To Read & Write\hiPSC\Biomark\plate 1 121121_C32-DPVR and Anai samples_\ChipRun.bml,1362627095,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,12/11/2021 04:57:29,01:54:03,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.8.1
Application Build,20210907.1056
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A01,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Zic3,Test,15.186810961874,0.972896436462681,Pass,0.0102617438427988,86.7072996506805,999,1
S96-A02,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Sox2,Test,12.8812426362872,1,Pass,0.0102617438427988,78.933056804027,999,1
S96-A03,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Gsc,Test,21.9955147676745,1,Pass,0.0102617438427988,84.8829231327802,999,1
S96-A04,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,AFP,Test,18.9788291613787,1,Pass,0.0102617438427988,86.6246412972623,999,1
S96-A05,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Gata4,Test,33.5573052218105,0.941386417080706,Pass,0.0102617438427988,78.7573641391584,999,1
S96-A06,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Fgf8,Test,20.6857952318738,0.992288801809415,Pass,0.0102617438427988,82.8013031051122,999,1
S96-A07,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Gata2,Test,22.5423753617676,1,Pass,0.0102617438427988,81.3290999006511,999,1
S96-A08,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Nkx2-5,Test,22.9726329714968,1,Pass,0.0102617438427988,83.0441726814829,999,1
S96-A09,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Comp,Test,38.7049554200621,0,Flag,0.0102617438427988,999,999,0
S96-A10,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Olig2,Test,23.4014042851192,1,Pass,0.0102617438427988,80.9193372317011,999,1
S96-A11,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Gfap,Test,33.1049880470635,0.901306682728372,Pass,0.0102617438427988,75.0084285376765,999,1
S96-A12,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,TH,Test,999,0,Flag,0.0102617438427988,999,999,0
S96-A13,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Dppa4,Test,20.5306847285765,1,Pass,0.0102617438427988,76.9818863057028,999,1
S96-A14,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Zfp42,Test,12.3468548866485,1,Pass,0.0102617438427988,76.2142906172353,999,1
S96-A15,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Tdgf1,Test,11.4902407667153,1,Pass,0.0102617438427988,85.7622640912061,999,1
S96-A16,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Cdx2,Test,999,0,Flag,0.0102617438427988,999,999,0
S96-A17,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Pecam1,Test,20.5245624604911,1,Pass,0.0102617438427988,72.7343581000816,999,1
S96-A18,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Nod2,Test,24.8729811553381,1,Pass,0.0102617438427988,84.8422159792202,999,1
S96-A19,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Hand1,Test,34.8517917542583,0,Flag,0.0102617438427988,999,999,0
S96-A20,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Pdgfra,Test,20.9112345120829,1,Pass,0.0102617438427988,79.9151010238233,999,1
S96-A21,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Ccr5,Test,28.3475687626188,1,Pass,0.0102617438427988,83.8523929472221,999,1
S96-A22,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Chat,Test,26.688613535956,0.851872339576585,Pass,0.0102617438427988,79.8332236956821,999,1
S96-A23,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Tubb3,Test,14.9918319504724,1,Pass,0.0102617438427988,89.3744924191842,999,1
S96-A24,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Gapdh,Test,9.38057243958933,1,Pass,0.0102617438427988,82.7262578306026,999,1
S96-A25,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Fgf5,Test,18.1393282334437,0.99035420963527,Pass,0.0102617438427988,73.4831672281971,999,1
S96-A26,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,T,Test,21.5211424512897,1,Pass,0.0102617438427988,77.4131844027468,999,1
S96-A27,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Axin2,Test,16.4526291629988,1,Pass,0.0102617438427988,83.77285682841,999,1
S96-A28,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,VSX2,Test,23.0265650370839,0.925514120175536,Pass,0.0102617438427988,81.9621595185628,999,1
S96-A29,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Hnf4a,Test,20.0202646630561,1,Pass,0.0102617438427988,76.8117892806863,999,1
S96-A30,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Cxcr4,Test,19.5248901595015,1,Pass,0.0102617438427988,78.0092580558612,999,1
S96-A31,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Hand2,Test,30.3087372412254,1,Pass,0.0102617438427988,85.3624066792606,999,1
S96-A32,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Runx1,Test,22.7140734453539,1,Pass,0.0102617438427988,83.6821521880901,999,1
S96-A33,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Krt10,Test,12.2231705394379,1,Pass,0.0102617438427988,78.4322055770155,999,1
S96-A34,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Foxd3,Test,16.5125295725682,1,Pass,0.0102617438427988,81.7135728296969,999,1
S96-A35,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Gad1,Test,36.0444370261252,0,Flag,0.0102617438427988,999,999,0
S96-A36,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Actb,Test,8.27008171026727,1,Pass,0.0102617438427988,88.9854079938425,999,1
S96-A37,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Klf2,Test,23.8391100550925,1,Pass,0.0102617438427988,86.0557908526472,999,1
S96-A38,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Mixl1,Test,20.7117001988431,1,Pass,0.0102617438427988,87.5367423127171,999,1
S96-A39,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Tbx6,Test,19.4570102769871,1,Pass,0.0102617438427988,82.2825687702065,999,1
S96-A40,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Shh,Test,999,0,Flag,0.0102617438427988,999,999,0
S96-A41,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Lgr5,Test,37.0702590167515,0.922890888514586,Pass,0.0102617438427988,74.6577941322502,999,1
S96-A42,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Bmp4,Test,17.2205225521047,1,Pass,0.0102617438427988,80.3481247319918,999,1
S96-A43,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,SIX6,Test,23.4634803440982,0.969650286479503,Pass,0.0102617438427988,83.2106860488963,999,1
S96-A44,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Myl3,Test,999,0,Flag,0.0102617438427988,74.8054262292998,999,1
S96-A45,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Zic1,Test,999,0,Flag,0.0102617438427988,74.8590877683735,999,1
S96-A46,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Pax6,Test,21.353288713689,1,Pass,0.0102617438427988,76.4546893855749,999,1
S96-A47,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,L1cam,Test,17.2306156192528,1,Pass,0.0102617438427988,86.5428358495032,999,1
S96-A48,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,TBP,Test,13.9620792734322,1,Pass,0.0102617438427988,81.8063399487079,999,1
