Chip Run Info,C:\Users\Osteil\Desktop\To Read & Write\hiPSC\Biomark\plate 2 19-11-21 BioMark  MixL1KOs and Anai samples\ChipRun.bml,1362627146,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,19/11/2021 05:13:23,01:53:51,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.8.1
Application Build,20210907.1056
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A01,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Zic3,Test,13.2655516801819,0.899573609271658,Pass,0.00803289388713221,86.885545458826,999,1
S96-A02,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Sox2,Test,14.6974425387128,0.928511808992253,Pass,0.00803289388713221,78.6200801467109,999,1
S96-A03,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Gsc,Test,10.9694152872474,0.994797043195796,Pass,0.00803289388713221,84.8897868797352,999,1
S96-A04,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,AFP,Test,20.9278257289255,0.715027016667549,Pass,0.00803289388713221,86.9611981681249,999,1
S96-A05,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Gata4,Test,12.7035677164995,0.984789162913863,Pass,0.00803289388713221,85.2553093348507,999,1
S96-A06,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Fgf8,Test,13.9244053862164,0.921835095360488,Pass,0.00803289388713221,82.7826738228011,999,1
S96-A07,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Gata2,Test,999,0,Flag,0.00803289388713221,999,999,0
S96-A08,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Nkx2-5,Test,999,0,Flag,0.00803289388713221,999,999,0
S96-A09,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Comp,Test,999,0,Flag,0.00803289388713221,999,999,0
S96-A10,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Olig2,Test,999,0,Flag,0.00803289388713221,999,999,0
S96-A11,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Gfap,Test,999,0,Flag,0.00803289388713221,999,999,0
S96-A12,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,TH,Test,999,0,Flag,0.00803289388713221,999,999,0
S96-A13,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Dppa4,Test,23.5254067471286,0.870245742513165,Pass,0.00803289388713221,79.6768564823454,999,1
S96-A14,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Zfp42,Test,12.3920533338478,0.975256745462172,Pass,0.00803289388713221,76.0007842069743,999,1
S96-A15,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Tdgf1,Test,9.69237211531403,1,Pass,0.00803289388713221,86.348656689907,999,1
S96-A16,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Cdx2,Test,21.9911471363331,1,Pass,0.00803289388713221,77.2961382229232,999,1
S96-A17,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Pecam1,Test,22.1021779856177,1,Pass,0.00803289388713221,80.3396667069666,999,1
S96-A18,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Nod2,Test,23.1390862664978,0.957108687821324,Pass,0.00803289388713221,84.6111777254591,999,1
S96-A19,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Hand1,Test,23.9086504005915,1,Pass,0.00803289388713221,86.653976935508,999,1
S96-A20,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Pdgfra,Test,14.3540560712149,0.998050641145238,Pass,0.00803289388713221,79.7680101343654,999,1
S96-A21,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Ccr5,Test,27.9367376370825,1,Pass,0.00803289388713221,87.8231980726447,999,1
S96-A22,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Chat,Test,999,0,Flag,0.00803289388713221,74.0891595677771,999,1
S96-A23,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Tubb3,Test,12.1343739371955,1,Pass,0.00803289388713221,89.7769823263735,999,1
S96-A24,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Gapdh,Test,7.40860960948256,1,Pass,0.00803289388713221,82.8786834240509,999,1
S96-A25,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Fgf5,Test,19.8790204143599,1,Pass,0.00803289388713221,72.8530656571511,999,1
S96-A26,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,T,Test,19.6615964397763,1,Pass,0.00803289388713221,77.2710222035276,999,1
S96-A27,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Axin2,Test,13.2610864368855,1,Pass,0.00803289388713221,83.8495734560957,999,1
S96-A28,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,VSX2,Test,999,0,Flag,0.00803289388713221,74.0894917440474,999,1
S96-A29,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Hnf4a,Test,13.8965783406352,1,Pass,0.00803289388713221,83.8479863499519,999,1
S96-A30,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Cxcr4,Test,9.22987273999781,1,Pass,0.00803289388713221,78.0364244272173,999,1
S96-A31,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Hand2,Test,999,0,Flag,0.00803289388713221,74.1620793807388,999,1
S96-A32,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Runx1,Test,20.3617075412701,1,Pass,0.00803289388713221,83.8303247843855,999,1
S96-A33,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Krt10,Test,11.3129599280973,1,Pass,0.00803289388713221,78.3679859671664,999,1
S96-A34,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Foxd3,Test,15.3380346567282,1,Pass,0.00803289388713221,81.9283805895205,999,1
S96-A35,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Gad1,Test,18.9601832216593,1,Pass,0.00803289388713221,88.6914072730825,999,1
S96-A36,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Actb,Test,6.33786562000766,1,Pass,0.00803289388713221,82.1552310014255,999,1
S96-A37,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Klf2,Test,21.5784971693793,1,Pass,0.00803289388713221,85.8994918246187,999,1
S96-A38,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Mixl1,Test,12.2534545695193,1,Pass,0.00803289388713221,87.879854564495,999,1
S96-A39,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Tbx6,Test,16.2543265989195,1,Pass,0.00803289388713221,82.353351315225,999,1
S96-A40,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Shh,Test,999,0,Flag,0.00803289388713221,74.1599965715942,999,1
S96-A41,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Lgr5,Test,12.9141582629365,1,Pass,0.00803289388713221,78.9874813261243,999,1
S96-A42,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Bmp4,Test,14.0800945157266,1,Pass,0.00803289388713221,80.373082850743,999,1
S96-A43,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,SIX6,Test,999,0,Flag,0.00803289388713221,74.3335119104731,999,1
S96-A44,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Myl3,Test,23.5253382752244,1,Pass,0.00803289388713221,87.6842471789745,999,1
S96-A45,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Zic1,Test,28.9126370062496,1,Pass,0.00803289388713221,88.9986260371223,999,1
S96-A46,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Pax6,Test,15.2815380420947,1,Pass,0.00803289388713221,76.9954421556252,999,1
S96-A47,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,L1cam,Test,16.2000710231234,1,Pass,0.00803289388713221,86.3092051998145,999,1
S96-A48,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,TBP,Test,12.8463080363794,1,Pass,0.00803289388713221,82.0708665644417,999,1
S96-A54,*FA3-1-No Dox D4 (hep biomark D5),Unknown,1,Col10a1,Test,32.6269720792571,1,Pass,0.00803289388713221,86.2450672225386,999,1
