uniprot_acc	pathway_id	pathway_name
P14550	hsa00010	Glycolysis / Gluconeogenesis
P07327	hsa00010	Glycolysis / Gluconeogenesis
P00325	hsa00010	Glycolysis / Gluconeogenesis
D6RHZ6	hsa00010	Glycolysis / Gluconeogenesis
V9HW50	hsa00010	Glycolysis / Gluconeogenesis
P00326	hsa00010	Glycolysis / Gluconeogenesis
P08319	hsa00010	Glycolysis / Gluconeogenesis
P11766	hsa00010	Glycolysis / Gluconeogenesis
P28332	hsa00010	Glycolysis / Gluconeogenesis
Q8IUN7	hsa00010	Glycolysis / Gluconeogenesis
Q96C23	hsa00010	Glycolysis / Gluconeogenesis
P40394	hsa00010	Glycolysis / Gluconeogenesis
Q6ZMR3	hsa00010	Glycolysis / Gluconeogenesis
P10515	hsa00010	Glycolysis / Gluconeogenesis
P09622	hsa00010	Glycolysis / Gluconeogenesis
E9PEX6	hsa00010	Glycolysis / Gluconeogenesis
P06733	hsa00010	Glycolysis / Gluconeogenesis
P09104	hsa00010	Glycolysis / Gluconeogenesis
P13929	hsa00010	Glycolysis / Gluconeogenesis
P05091	hsa00010	Glycolysis / Gluconeogenesis
P30838	hsa00010	Glycolysis / Gluconeogenesis
I3L3I9	hsa00010	Glycolysis / Gluconeogenesis
P30837	hsa00010	Glycolysis / Gluconeogenesis
P09467	hsa00010	Glycolysis / Gluconeogenesis
P43353	hsa00010	Glycolysis / Gluconeogenesis
A0A087X2D4	hsa00010	Glycolysis / Gluconeogenesis
P49189	hsa00010	Glycolysis / Gluconeogenesis
P51648	hsa00010	Glycolysis / Gluconeogenesis
P04075	hsa00010	Glycolysis / Gluconeogenesis
P05062	hsa00010	Glycolysis / Gluconeogenesis
P09972	hsa00010	Glycolysis / Gluconeogenesis
P35575	hsa00010	Glycolysis / Gluconeogenesis
P04406	hsa00010	Glycolysis / Gluconeogenesis
O14556	hsa00010	Glycolysis / Gluconeogenesis
P35557	hsa00010	Glycolysis / Gluconeogenesis
P06744	hsa00010	Glycolysis / Gluconeogenesis
A0A2U3TZU2	hsa00010	Glycolysis / Gluconeogenesis
P19367	hsa00010	Glycolysis / Gluconeogenesis
P78542	hsa00010	Glycolysis / Gluconeogenesis
P52789	hsa00010	Glycolysis / Gluconeogenesis
P52790	hsa00010	Glycolysis / Gluconeogenesis
A6NNW6	hsa00010	Glycolysis / Gluconeogenesis
P00338	hsa00010	Glycolysis / Gluconeogenesis
P07195	hsa00010	Glycolysis / Gluconeogenesis
