uniprot_acc	SOM
A0A087WV90	1
A0MZ66	2
A3KMH1	3
B4DDD6	1
B4E321	4
C9J406	1
E7ETY2	5
F8W7C6	1
H0Y5B0	6
H0YG16	7
H7BXH8	1
J3KN66	4
O00165	1
O00291	4
O00418	3
O00483	1
O00487	3
O00499	4
O00592	6
O00746	1
O14530	4
O14757	4
O14802	1
O14910	1
O14936	1
O14964	4
O15037	3
O15075	3
O15111	5
O15145	5
O15265	1
O15294	4
O15305	4
O15397	4
O15439	1
O43181	1
O43236	6
O43402	1
O43432	4
O43617	4
O43657	1
O43678	1
O43766	3
O60287	7
O60462	4
O60488	1
O60502	5
O60583	1
O60664	7
O75122	4
O75312	4
O75446	1
O75475	1
O75487	1
O75616	4
O75648	1
O75717	4
O75828	1
O75923	5
O75970	4
O94762	6
O95299	1
O95319	1
O95405	5
O95425	1
O95477	1
O95551	4
O95571	1
O95573	1
O95757	4
O95782	1
O95831	1
O96017	4
O96028	1
P00403	1
P00505	1
P00918	4
P02545	2
P04040	6
P04080	4
P04179	1
P04183	6
P04233	7
P04424	4
P04439	1
P04792	4
P04818	4
P05165	1
P05166	1
P06732	5
P07737	5
P07948	4
P08236	1
P08240	3
P08581	1
P08754	1
P08758	2
P09110	5
P09543	1
P09601	6
P09669	1
P10606	1
P11137	1
P11310	1
P13073	1
P13611	4
P13674	5
P13804	1
P14406	1
P14854	1
P14866	5
P15531	4
P15954	1
P16144	1
P16152	1
P16298	4
P17301	1
P17655	1
P17693	1
P18583-6	1
P18615	5
P20248	7
P20674	1
P20839	1
P22314-2	1
P22570	6
P22830	1
P23528	5
P23634	2
P23786	1
P25098	1
P25685	4
P27105	4
P27707	7
P27708	7
P28331	1
P29373	4
P30084	1
P30154	4
P30260	6
P30711	1
P31483	3
P31641	6
P31689	7
P31749	3
P31939	4
P31948	7
P32969	5
P33176	7
P33552	4
P33981	4
P34059	3
P34897	1
P35626	5
P35790	4
P35914	1
P36957	1
P37837	4
P37840	4
P38432	6
P39880	5
P40121	4
P40925	2
P42126	1
P42166	1
P42167	1
P42765	1
P42785	1
P46100	5
P46940	5
P48681	6
P48730	4
P49257	6
P49327	6
P49354	3
P49427	4
P49588	1
P49643	1
P49750	1
P49755	1
P49773	1
P49821	1
P51570	2
P51948	4
P52292	4
P52565	4
P52739	3
P52788	1
P52907	7
P52926	1
P53597	1
P53611	4
P53990	4
P54652	4
P55081	5
P56199	1
P56749	1
P56937	4
P58005	4
P58557	4
P61163	1
P61313	5
P61457	5
P61962	6
P61966	4
P62244	1
P62318	3
P62701	1
P62993	4
P63096	4
P78417	4
P82921	1
P83916	6
P84157	6
Q01780	1
Q02224	4
Q02539	4
Q06265	1
Q07157	5
Q07352	6
Q07817	2
Q08257	4
Q08345	2
Q12768	4
Q12830	6
Q12860	1
Q12996	5
Q13045	4
Q13153	4
Q13188	4
Q13228	3
Q13362	1
Q13425	1
Q13427	1
Q13444	1
Q13563	1
Q13769	1
Q13868	1
Q13901	1
Q14141	4
Q14149	4
Q14192	1
Q14258	2
Q14315	2
Q14331	1
Q14451	1
Q14558	6
Q14674	4
Q14684	1
Q14696	1
Q14914	4
Q14974	4
Q14C86	4
Q15003	4
Q15032	5
Q15047	1
Q15223	6
Q15274	7
Q15363	1
Q15599	5
Q15750	4
Q15768	1
Q16204	4
Q16625	1
Q16698	1
Q16739	7
Q16831	4
Q27J81	5
Q2VPK5	6
Q3KP31	1
Q3MII6	4
Q4G0N4	1
Q53S33	1
Q53T59	4
Q587I9	1
Q5BKZ1	1
Q5JXI8	1
Q5QJE6	1
Q5QPL9	1
Q5RKV6	1
Q5SS57	1
Q5SSJ5	1
Q5SW96	3
Q5SXM8	3
Q5TC12	5
Q5U5X0	1
Q5VYS8	2
Q63HN8	4
Q68CP9	1
Q6DD88	6
Q6EMK4	1
Q6FI81	7
Q6GYQ0	4
Q6IE81	6
Q6IN84	2
Q6IN85	4
Q6KC79	1
Q6NUK1	1
Q6NXG1	1
Q6P1Q9	4
Q6P5R6	3
Q6PI48	1
Q6UB99	5
Q6UX04	4
Q6XQN6	1
Q6YN16	1
Q6ZU65	5
Q6ZVF9	4
Q6ZWJ1	2
Q712K3	4
Q71F23	1
Q76L83	3
Q7Z2K6	1
Q7Z2W4	5
Q7Z2Z1	1
Q7Z2Z2	1
Q7Z460	5
Q7Z4H8	3
Q7Z7C8	4
Q7Z7F0	4
Q7Z7K6	1
Q86SQ9	3
Q86UE4	1
Q86V35	1
Q86V59	4
Q86VI4	1
Q86VN1	3
Q86VP1	4
Q86WJ1	1
Q86X02	4
Q86X53	4
Q8IWW6	6
Q8IXB1	1
Q8IXZ2	5
Q8IY81	2
Q8IYQ7	4
Q8N128	4
Q8N3C0	7
Q8N3Z6	1
Q8N5G2	1
Q8N5M1	1
Q8N6S5	5
Q8N884	4
Q8NBN7	1
Q8NBX0	1
Q8ND90	4
Q8NDI1	4
Q8NE00	2
Q8NF37	1
Q8NFP9	4
Q8TAA5	1
Q8TAT6	4
Q8TC07	3
Q8TD10	1
Q8TD16	4
Q8TDR0	3
Q8TEA1	1
Q8TEM1	1
Q8TF46	1
Q8WUM4	4
Q8WVM0	1
Q8WX93	4
Q8WXW3	4
Q8WZA0	4
Q92485	5
Q92599	1
Q92667	6
Q92905	3
Q969T9	4
Q969Z3	1
Q96AB3	1
Q96AC1	4
Q96B26	1
Q96C01	1
Q96CN9	6
Q96CU9	4
Q96E11	1
Q96EP5	5
Q96ER3	4
Q96EV8	7
Q96F63	4
Q96GC5	1
Q96HY7	1
Q96I15	4
Q96I99	1
Q96JJ3	4
Q96JM3	1
Q96KP4	1
Q96PV7	1
Q96Q11	4
Q96QD9	5
Q96S19	1
Q96S44	3
Q96SB3	6
Q96SI1	5
Q96SQ9	6
Q96TC7	4
Q99487	1
Q99523	6
Q99547	1
Q99569	3
Q99829	1
Q99943	1
Q99963	3
Q99969	2
Q9BPZ3	4
Q9BQC3	1
Q9BQL6	3
Q9BRK0	1
Q9BRL6	1
Q9BRR6	1
Q9BRT2	1
Q9BRZ2	1
Q9BSD7	4
Q9BSV6	4
Q9BT23	2
Q9BT73	7
Q9BTC8	5
Q9BUH6	1
Q9BV20	4
Q9BVJ7	1
Q9BW04	1
Q9BW83	1
Q9BWH6	4
Q9BWS9	1
Q9BY49	1
Q9BYN0	4
Q9BYV8	3
Q9BZV1	1
Q9BZX2	4
Q9GZP4	1
Q9H074	4
Q9H078	1
Q9H0A8	4
Q9H0E9	1
Q9H0W5	1
Q9H0W9	4
Q9H299	7
Q9H2D6	1
Q9H2G4	6
Q9H2H8	1
Q9H2J4	4
Q9H2W6	1
Q9H3G5	1
Q9H3P7	4
Q9H3U1	6
Q9H5V8	1
Q9H611	4
Q9H9A6	3
Q9H9P8	5
Q9HAB8	4
Q9HCC0	1
Q9HCN4	4
Q9HCS7	5
Q9HD15	5
Q9NPD3	1
Q9NPD8	4
Q9NPR2	1
Q9NQT4	1
Q9NQT5	1
Q9NR23	5
Q9NRL2	1
Q9NRZ5	1
Q9NUG6	4
Q9NUW8	4
Q9NVI7	1
Q9NWS0	4
Q9NX05	1
Q9NX62	3
Q9NX74	4
Q9NXR5	4
Q9NXW2	1
Q9NYF8	1
