id_a	cluster
H0Y5B0	1
O00592	1
O60664	1
O94762	1
P04183	1
P22570	1
P27708	1
P31641	1
P31689	1
P31948	1
P38432	1
P49257	1
P49327	1
P61962	1
P83916	1
Q07352	1
Q12830	1
Q14558	1
Q15223	1
Q2VPK5	1
Q6DD88	1
Q6FI81	1
Q6IE81	1
Q8IWW6	1
Q8N3C0	1
Q92667	1
Q96CN9	1
Q99523	1
Q9H299	1
Q9H3U1	1
Q9NZJ4	1
Q9UDT6	1
Q9UHD8	1
Q9UHR5	1
Q9Y5S2	1
B4E321	2
H0YG16	2
O14530	2
O14964	2
O15305	2
O15397	2
O60287	2
O75970	2
O96017	2
P04080	2
P04233	2
P07948	2
P20248	2
P27105	2
P27707	2
P33176	2
P33552	2
P33981	2
P35790	2
P37840	2
P52292	2
P52565	2
P52907	2
P53990	2
P54652	2
P56937	2
P61966	2
P62993	2
Q13045	2
Q13153	2
Q13188	2
Q14149	2
Q14315	2
Q14674	2
Q15003	2
Q15274	2
Q16739	2
Q63HN8	2
Q6GYQ0	2
Q6IN85	2
Q6UX04	2
Q6ZVF9	2
Q712K3	2
Q7Z7C8	2
Q86V59	2
Q86X02	2
Q8IYQ7	2
Q8N128	2
Q8TD16	2
Q8WXW3	2
Q96AC1	2
Q96EV8	2
Q9BPZ3	2
Q9BSV6	2
Q9BT73	2
Q9BZX2	2
Q9H074	2
Q9H2J4	2
Q9H611	2
Q9HCN4	2
Q9NUG6	2
Q9NUW8	2
Q9NWS0	2
Q9NYZ3	2
Q9UBV2	2
Q9UHK0	2
Q9UHV9	2
Q9UK22	2
Q9Y2H0	2
Q9Y2Z0	2
Q9Y3D8	2
A0MZ66	3
J3KN66	3
O00291	3
O00499	3
O43432	3
O43617	3
O60462	3
O75122	3
O75312	3
O75717	3
O95757	3
P00918	3
P02545	3
P04424	3
P04792	3
P04818	3
P08758	3
P13611	3
P15531	3
P16298	3
P25685	3
P29373	3
P30154	3
P31939	3
P40121	3
P40925	3
P48730	3
P51948	3
P53611	3
P58557	3
P63096	3
P78417	3
Q02539	3
Q07817	3
Q08257	3
Q12768	3
Q14141	3
Q14C86	3
Q16204	3
Q16831	3
Q3MII6	3
Q53T59	3
Q7Z7F0	3
Q86VP1	3
Q86X53	3
Q8N884	3
Q8NDI1	3
Q8TAT6	3
Q8WUM4	3
Q8WX93	3
Q8WZA0	3
Q969T9	3
Q96CU9	3
Q96F63	3
Q96I15	3
Q96JJ3	3
Q96Q11	3
Q96TC7	3
Q9BSD7	3
Q9BV20	3
Q9BWH6	3
Q9BYN0	3
Q9H0A8	3
Q9H0W9	3
Q9H3P7	3
Q9HAB8	3
Q9NPD8	3
Q9NX74	3
Q9NXR5	3
Q9NYU1	3
Q9NZ52	3
Q9P287	3
Q9UBC2	3
Q9UFC0	3
Q9UGK3	3
Q9Y266	3
Q9Y281	3
Q9Y6K9	3
O14757	4
O15294	4
O43236	4
O75616	4
O95551	4
P04040	4
P09601	4
P23634	4
P30260	4
P37837	4
P48681	4
P49427	4
P51570	4
P58005	4
P84157	4
Q02224	4
Q08345	4
Q14258	4
Q14914	4
Q14974	4
Q15750	4
Q5VYS8	4
Q6IN84	4
Q6P1Q9	4
Q6ZWJ1	4
Q8IY81	4
Q8ND90	4
Q8NE00	4
Q8NFP9	4
Q96ER3	4
Q96SB3	4
Q96SQ9	4
Q99969	4
Q9BT23	4
