uniprot_acc	kmodes	majority
A0A087WV90	9	9
A0MZ66	2	2
A3KMH1	6	6
B4DDD6	9	9
B4E321	3	3
C9J406	8	8
E7ETY2	7	7
F8W7C6	4	5
H0Y5B0	1	1
H0YG16	10	10
H7BXH8	9	9
J3KN66	2	2
O00165	12	8
O00291	11	11
O00418	7	7
O00483	12	5
O00487	6	6
O00499	2	2
O00592	1	1
O00746	5	5
O14530	10	10
O14757	3	3
O14802	9	9
O14910	9	9
O14936	5	5
O14964	10	10
O15037	7	7
O15075	6	6
O15111	7	7
O15145	7	7
O15265	4	5
O15294	3	3
O15305	3	3
O15397	10	10
O15439	9	9
O43181	9	9
O43236	11	11
O43402	12	8
O43432	2	2
O43617	2	11
O43657	5	5
O43678	9	9
O43766	6	6
O60287	10	10
O60462	2	2
O60488	9	9
O60502	7	7
O60583	9	9
O60664	10	10
O75122	3	3
O75312	3	3
O75446	4	5
O75475	5	5
O75487	5	5
O75616	3	11
O75648	12	8
O75717	2	2
O75828	12	9
O75923	4	5
O75970	10	10
O94762	1	1
O95299	9	9
O95319	6	6
O95405	6	6
O95425	12	8
O95477	12	9
O95551	3	3
O95571	9	9
O95573	9	9
O95757	2	2
O95782	4	5
O95831	6	6
O96017	3	3
O96028	9	9
P00403	12	9
P00505	5	5
P00918	2	2
P02545	2	2
P04040	11	12
P04080	10	10
P04179	5	5
P04183	1	1
P04233	10	10
P04424	2	2
P04439	9	9
P04792	2	2
P04818	3	3
P05165	8	8
P05166	12	8
P06732	7	7
P07737	7	7
P07948	3	11
P08236	8	8
P08240	8	8
P08581	12	9
P08754	9	9
P08758	2	2
P09110	4	5
P09543	5	5
P09601	11	11
P09669	12	8
P10606	12	5
P11137	5	5
P11310	12	9
P13073	12	9
P13611	2	2
P13674	7	7
P13804	9	9
P14406	12	9
P14854	5	5
P14866	7	7
P15531	3	3
P15954	5	5
P16144	4	5
P16152	12	8
P16298	3	3
P17301	5	5
P17655	12	9
P17693	8	8
P18583-6	9	9
P18615	6	6
P20248	10	10
P20674	5	5
P20839	5	5
P22314-2	6	6
P22570	1	1
P22830	5	5
P23528	7	7
P23634	11	11
P23786	8	8
P25098	4	5
P25685	3	11
P27105	10	10
P27707	10	10
P27708	10	10
P28331	9	9
P29373	2	2
P30084	12	9
P30154	2	2
P30260	1	1
P30711	12	8
P31483	8	8
P31641	1	1
P31689	10	10
P31749	8	8
P31939	2	2
P31948	10	10
P32969	7	7
P33176	10	10
P33552	3	11
P33981	10	10
P34059	6	6
P34897	5	5
P35626	7	7
P35790	3	3
P35914	6	6
P36957	8	8
P37837	3	12
P37840	10	10
P38432	1	1
P39880	7	7
P40121	2	2
P40925	2	2
P42126	12	8
P42166	4	5
P42167	4	5
P42765	12	9
P42785	9	9
P46100	7	5
P46940	7	7
P48681	11	11
P48730	11	11
P49257	1	1
P49327	1	1
P49354	8	8
P49427	11	11
P49588	8	8
P49643	9	9
P49750	12	9
P49755	8	8
P49773	8	6
P49821	9	9
P51570	11	11
P51948	2	2
P52292	3	3
P52565	3	3
P52739	6	6
P52788	6	6
P52907	10	10
P52926	5	5
P53597	4	5
P53611	2	2
P53990	10	10
P54652	10	10
P55081	7	7
P56199	4	5
P56749	9	9
P56937	3	3
P58005	11	11
P58557	2	2
P61163	5	5
P61313	7	7
P61457	7	7
P61962	1	1
P61966	10	10
P62244	9	9
P62318	6	6
P62701	9	9
P62993	10	10
P63096	3	3
P78417	2	2
P82921	9	9
