GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	0.0015077908956395753	0.0015077908956395753	+1	P00403,P09669,P10606,P13073,P14406,P15954
GO:0071027	nuclear RNA surveillance	0.010703361637965788	0.010703361637965788	+1	Q01780,Q13868,Q5RKV6,Q96B26,Q9NQT4,Q9NQT5
GO:0016075	rRNA catabolic process	0.016037259957543185	0.016037259957543185	+1	Q01780,Q13868,Q5RKV6,Q8TF46,Q96B26,Q9NQT4,Q9NQT5
GO:0071051	polyadenylation-dependent snoRNA 3'-end processing	0.035541903533410586	0.035541903533410586	+1	Q01780,Q13868,Q5RKV6,Q9NQT4,Q9NQT5
GO:0071025	RNA surveillance	0.044577060114209865	0.044577060114209865	+1	Q01780,Q13868,Q5RKV6,Q96B26,Q9NQT4,Q9NQT5
GO:0000176	nuclear exosome (RNase complex)	0.000008277303587046148	0.000008277303587046148	+1	Q01780,Q13868,Q13901,Q5RKV6,Q96B26,Q99547,Q9NQT4,Q9NQT5,Q9Y3B2
GO:0000178	exosome (RNase complex)	0.000048673285337740496	0.000048673285337740496	+1	Q01780,Q13868,Q13901,Q5RKV6,Q8TF46,Q96B26,Q99547,Q9NQT4,Q9NQT5,Q9Y3B2
GO:1905354	exoribonuclease complex	0.00008106554437004856	0.00008106554437004856	+1	Q01780,Q13868,Q13901,Q5RKV6,Q8TF46,Q96B26,Q99547,Q9NQT4,Q9NQT5,Q9Y3B2
GO:0045277	respiratory chain complex IV	0.0013381184943950684	0.0013381184943950684	+1	O00483,P00403,P09669,P10606,P13073,P14406,P15954
GO:0005751	mitochondrial respiratory chain complex IV	0.011408935606168161	0.011408935606168161	+1	O00483,P09669,P10606,P13073,P14406,P15954
REAC:R-HSA-450385	Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	0.037466961586397174	0.037466961586397174	+1	Q07352,Q13868,Q5RKV6,Q96B26,Q9NQT4,Q9NQT5,Q9Y3B2
WP:WP4922	Mitochondrial complex IV assembly	0.04439369692459785	0.04439369692459785	+1	O00483,P00403,P09669,P10606,P13073,P14406,P15954
CORUM:7443	Exosome	1.7511653259213703e-7	1.7511653259213703e-7	+1	Q01780,Q13868,Q5RKV6,Q8TF46,Q96B26,Q99547,Q9NQT4,Q9NQT5,Q9Y3B2
CORUM:789	Exosome	0.00032914254828189746	0.00032914254828189746	+1	Q01780,Q13868,Q5RKV6,Q96B26,Q9NQT4,Q9NQT5,Q9Y3B2
CORUM:788	Exosome	0.007322958478141526	0.007322958478141526	+1	Q13868,Q5RKV6,Q96B26,Q9NQT4,Q9NQT5,Q9Y3B2
