maxquant_row_id	num_gene_names	gene_names	uniprot_acc	is_unique	protein_ids
0	3	CDK14:CDK15:CDK1	O94921:Q96Q40:P06493	Multimapped	A0A024QZP7;P06493;P06493-2;A0A087WZZ9;E5RIU6;E7EUK8;Q96Q40-6;Q96Q40-4;Q96Q40-3;O94921-3;Q96Q40-5;Q96Q40;O94921-2;O94921
1	1	SERPINB6	P35237	Unique	A0A024QZX5;A0A087X1N8;P35237;A0A2R8YD12;A0A2R8Y6A7;A0A2R8YDD0;A0A2R8Y517
2	1	HDLBP	Q00341	Unique	A0A024R4E5;Q00341;Q00341-2;H0Y394;H7C0A4;C9JIZ1;H7C2D1;C9J5E5;C9JZI8;C9JHZ8;C9JES8;H7BZC3;C9JHS7;C9JK79;C9JT62;H7C3D0;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9
3	1	TMEM120A	Q9BXJ8	Unique	A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8-2;Q9BXJ8
4	1	SERPINA1	P01009	Unique	A0A024R6I7;P01009;A0A0G2JRN3;P01009-3;P01009-2;G3V5R8;G3V387;A0A0B4J278;G3V544
5	1	ELOF1	P60002	Unique	K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4;P60002
6	1	HNRNPA2B1	A0A024RA28	Unique	A0A024RA28
7	2	PSMA2:NA	P25787:A0A7I2V2H3	Multimapped	A0A024RA52;P25787;A0A7I2YQP7;C9JCK5;A0A7I2V2H3;H3BT36
8	2	ELOA:LRRC34	Q14241:G3V115	Multimapped	A0A024RAC6;Q14241;G3V115
9	1	MICA	Q29983	Unique	A0A140T9Z8;H0Y615;A0A140T9T9;A0A140T9P3;A0A024RCL3;A0A140T9I5;A0A140T9B8;A0A0G2JK11;Q96QC4;A0A1W2PRA6;A0A140T986;A0A1W2PPN1;Q29983-2;Q29983
10	2	PPT2:NA	Q9UMR5:A0A0G2JLA3	Multimapped	A0A0G2JLK6;G8JLL2;A0A0G2JK02;A0A0G2JIU6;A0A0G2JHB6;A0A0G2JKR3;A0A140T9Y1;A0A0G2JLL3;A0A0G2JLA3;A0A0G2JH76;A0A024RCQ8;A0A140T8X7;Q9UMR5-2;Q9UMR5;Q9UMR5-3
11	2	BAG6:UBL3	P46379:O95164	Multimapped	A0A7I2V508;P46379-2;P46379-3;P46379;A0A0G2JK23;A0A7P0MQS5;A0A024RCR6;P46379-5;A0A0G2JL47;P46379-4;X6REW1;A0A0G2JJM1;F6S6P2;H0Y710;F6XTU0;A0A1B0GX79;A0A0G2JJR8;F6U1F2;F6UR09;F6WML8;F6VEM6;H0Y4L1;F6X9W3;F6U341;A0A7I2V3H1;F6TC96;H0Y759;A0A0G2JIA9;A0A0G2JJ92;A0A0G2JIB3;H0Y7K4;O95164
13	1	VGLL4	Q14135	Unique	Q14135;A0A075B6E4;Q14135-2;A0A0A6YYI5;G5E9M9;E7EQU6;Q14135-6;Q14135-5;E7EWF5;F8W708;E7EUJ2;E7ERW0;A0A1W2PQQ9;F8WBN7;C9JX59;A0A096LP98;Q14135-3;C9JBN2
14	1	HM13	Q8TCT9	Unique	A0A075B6F6;A0A0S2Z6F0;A0A3B3IT72;A0A3B3IUB5;Q8TCT9-5;Q8TCT9;Q8TCT9-4;Q8TCT9-2;A0A0C4DGU3
