uniprot_acc	1_SET1	2_SET1	3_SET1	4_SET1	5_SET1	6_SET1	7_SET1	8_SET1	9_SET1	10_SET1	11_SET1	12_SET1	13_SET1	14_SET1	15_SET1	16_SET1	1_SET2	2_SET2	3_SET2	4_SET2	5_SET2	6_SET2	7_SET2	8_SET2	9_SET2	10_SET2	11_SET2	12_SET2	13_SET2	14_SET2	15_SET2	16_SET2	1_SET3	2_SET3	3_SET3	4_SET3	5_SET3	6_SET3	7_SET3	8_SET3	9_SET3	10_SET3	11_SET3	12_SET3	13_SET3	14_SET3	15_SET3	16_SET3
O94921:Q96Q40:P06493	826720	960590	815420	954210	843960	843110	729690	844220	812090	811030	747290	728620	912250	945710	740880	879980	866110	647050	535420	624480	375550	837230	650780	806390	678980	591120	599830	623580	660680	340150	379830	713720	754410	769360	837800	815170	887980	614410	820350	847130	716330	779280	808240	774730	904020	651970	684940	979000
P35237	387090	480000	347030	447170	353220	335560	351420	383890	474730	308160	290710	353190	444890	488510	696360	391800	325960	357430	268890	340990	209380	388410	329890	381410	451100	271640	311250	384730	441680	280030	471760	390150	189970	225020	207550	225370	204400	118040	204360	187390	275420	195480	194650	242270	205630	278020	288580	253060
Q00341	3162100	3373000	3071400	3234300	2965600	3044300	3001200	3159000	3696700	3143600	3377200	2648800	3418800	3394600	3407800	3186500	4062800	3637600	3497100	3651400	2071500	3689600	3131400	3201300	3826900	3213300	3837300	3463300	3055500	2787800	2427400	3934900	2840800	3032800	2925100	3259700	3116700	2306300	2862700	3169800	2818600	3482200	2844300	2981100	3461300	2805800	3532800	3879300
Q9BXJ8	35476	35712	28937	38780	21824	30008	24047	22779	24811	40363	35213	29855	23511	38224	20971	33732	99880	84386	93754	61896	41361	112850	72582	77227	73095	122870	107500	89730	88242	42637	94854	110200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P01009	23343	48637	11902	18388	94068	27232	55381	474390	26925	3106	10225	15238	16300	8599.4	11112	18905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P60002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28364	22573	34186	22566	15391	31153	19953	16226	25453	27675	37579	23653	15270	19157	20365	29280	58409	88087	111080	68800	58004	39400	81368	54438	51504	104580	78597	81707	89057	45785	65653	134590
A0A024RA28	11438	13793	9673.9	11113	18569	11329	14258	16366	9182.3	12918	18036	21025	16151	7964.5	12002	8291.4	16007	8298.6	6606.8	14657	8494	13483	17428	16587	15153	8212.8	17272	19301	17897	25248	14326	18929	14120	9721.5	8202.2	13387	14128	12896	11624	17825	20276	11393	11449	12520	14984	14988	16151	18623
P25787:A0A7I2V2H3	2404600	2135300	1754900	1527600	1752700	1999400	1448600	1805300	1813600	1705000	1678200	1527700	1901000	1952000	1769200	1902200	1352200	1188000	1261400	1297900	712340	1410700	1155800	1300500	1278600	1277900	1277100	1408600	1305400	1308100	1109200	1434900	1880200	1638300	1602200	2086500	1956500	1455900	1923800	1988500	1918800	2225000	1938300	2153600	2076000	2204600	2584300	2203400
Q14241:G3V115	528320	546550	568970	499620	459940	537320	486300	506700	599790	546080	623060	524980	518710	570010	559890	537780	619540	603570	612160	724420	460820	564180	580640	574040	706040	545370	709270	678120	585400	600150	429790	715770	535990	503440	487240	586610	547210	480040	521740	564800	568430	724610	607060	607040	610020	551100	610490	672090
Q29983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UMR5:A0A0G2JLA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61506	66890	62769	83448	74968	60473	93371	79890	68224	68215	61157	58167	76985	63208	63175	75570
P46379:O95164	1249400	1311500	1169400	1256400	1119700	1395500	1146800	1245000	1340300	1201100	1268200	1065500	1286000	1408200	1237800	1262400	1109100	961740	911510	950200	666130	1097700	887030	925330	1031300	914030	1067000	999380	999010	1096600	748780	1089900	1577300	1519200	1527900	1789100	1721900	1399400	1653700	1717900	1691300	1817900	1588500	1693500	1995700	1815700	1964500	2000400
Q14135	183270	172620	158190	113530	92994	112020	103350	106330	118670	140600	150290	101030	96434	129890	113610	138940	90086	64802	81326	120660	103360	71292	86255	91839	100180	47062	79691	82505	68358	67284	39275	103330	45809	36159	32982	22974	22880	15322	27908	20336	20534	43485	38542	30994	35577	20161	31767	42625
Q8TCT9	23795	38829	71091	87857	78902	46476	80456	66934	73249	38640	78944	91739	55657	48225	115690	53150	80585	52923	24113	17056	16781	55862	43163	37934	32834	20278	31142	22263	35906	7835.8	25904	33152	37775	36905	30974	43591	61496	61926	46247	50725	55536	28361	21188	24529	25134	50136	26778	39772
Q9Y314	549190	528790	610610	491880	352070	533080	582660	485580	658110	564720	688940	418590	495360	539440	575710	528850	261990	256400	282710	256560	144880	255700	244960	191120	282160	182070	320970	260450	167670	229880	126420	310520	406620	497180	498030	476630	446090	366850	508210	457460	368760	514970	341720	367510	444960	352010	420370	575550
P11532	9004.6	11043	12470	8239.5	13590	17411	12009	18469	14588	8460.7	10047	11350	15745	7501.6	13459	11596	187760	142390	69970	159550	121260	121600	190120	182030	132630	115200	142560	166640	182430	92191	132810	158670	87701	65267	53998	92391	94861	78414	100090	97470	102970	92263	123030	94207	92609	97192	116710	97395
Q7Z7B0	12370	11247	5587.9	7378.9	9657	17734	11084	12087	6994.2	7095.4	3820.2	18830	12537	18307	12213	11955	1733	1134.9	945.06	1399	1246	1695.8	2192.6	1725.1	1645.1	4055	1294.1	2505.1	2889.4	3371.8	2966.8	2020.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B6S5:A0A0C4DH69:A0A0C4DH67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3191.1	3441.8	2781.9	2967.5	1852.8	3164.2	3078.8	3058.8	3673.2	3737.4	4047.9	4528.7	3954.4	4089.8	2958.5	3931.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9C0C7	5389.2	5088.2	5707.9	3300.8	4178.7	4974.8	4683.9	5595.1	4621.5	4306.8	6877.6	4590	3709.8	4870.1	4024	5648.4	24248	23057	24700	28412	14437	26111	22813	23451	24858	21026	27314	26935	21022	16672	17352	28200	41501	46644	48762	46446	42488	32407	41257	40205	35940	49135	43538	39805	48279	40128	42044	51187
P13928:A0A075B752	25783	27644	40280	37577	11751	18189	25425	13516	24527	33739	25596	13836	12544	43039	20924	27901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17183	26097	44370	11427	13251	4814.5	22297	8492.7	12903	32990	30877	32967	32327	12014	10016	35688
Q8IYB9:D6RIY0:D6RGC2:Q8TB69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25250	14470	24212	23681	5416.5	29936	16710	23002	26570	19938	24639	27674	20884	13237	21091	24828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9HB09	33201	33402	35915	28493	21868	27229	31442	25631	46268	45147	52724	47207	30466	43742	47972	32947	32110	38839	27102	33345	22414	32985	31274	32806	47485	25714	45641	42312	22086	32602	9715.7	36508	59929	65913	61104	55707	50084	40847	49553	51318	43416	83436	39298	46601	72092	48251	58732	67391
Q16881:Q9NNW7	1315400	1389700	1340200	1391300	918870	1093200	1263400	1078100	1337700	1601700	1346400	1132700	1158300	1727900	1335600	1439100	1020000	654960	791410	729760	411210	974980	897700	839640	845640	938410	838070	844420	854960	270650	713490	976330	596660	632150	666920	627310	624220	470070	787020	587130	636180	736040	650110	749530	771160	668060	567650	782130
P36969	478450	506720	379270	430080	270200	339370	322500	296630	389260	484400	311350	283720	345290	572100	349720	436060	497310	376690	447900	237000	152610	562980	298570	283810	343110	524620	383290	336890	333570	185380	437200	469180	529880	526450	609280	460600	468750	287680	636400	391360	521650	655180	598760	704400	671090	549100	512330	688780
Q9NV06	312300	359690	390480	432790	207570	268900	261450	263720	322620	395580	352240	292320	273380	392660	322200	381060	252080	229100	185360	214310	138880	265210	234870	231100	249820	206030	264480	218040	211220	101630	167620	255470	383830	380460	377650	381260	377480	309980	368390	363940	328210	367480	317750	343010	391330	336930	278510	404530
Q9BXF3	866170	915750	871430	895870	789920	896140	830710	876300	871990	850950	1024900	1135400	938620	850080	819510	895600	1216900	1146600	1053300	1140500	781500	1151500	1180400	1198300	1158400	1294800	1381900	1461300	1383500	992180	1229200	1424300	969190	842550	920300	828640	836650	582330	901820	868540	900210	1098400	1157000	1200200	1143700	867740	867310	1267400
P04637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13565	17506	5897.5	10969	12082	13097	12953	10169	16193	11013	8625.1	9005.4	11698	6182.4	7746.1	12262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00124	4280.2	4422.4	4313.5	4058.4	3112.5	3421.8	3403	2650.2	4326.1	4323.5	5238.1	4612.6	3601	3813.3	4217.8	3884.1	18225	18402	14937	20427	11339	19300	20178	21498	21372	12500	21162	16793	17033	12606	8235.2	17898	11686	9263.5	7307.7	13989	11240	12261	9369.8	12418	10787	9359	7191.7	7558.5	8604.5	11977	9600	13135
Q8N5I9	225720	229020	252940	139660	176080	209190	163500	212540	188820	167610	181910	163550	178630	143610	213510	198660	225770	192570	198840	322000	295430	170120	164860	255040	209880	96486	172600	179080	178440	230920	90407	237020	312460	216900	190990	268360	284450	224210	204150	304080	262930	294010	234590	267580	259060	229310	270760	283610
O14628	123180	123310	123010	130030	85588	106110	107940	93286	113880	108740	104220	99098	115960	110260	129810	116190	65482	63156	65889	55441	32227	71360	52351	54365	62046	56334	63988	60376	54220	44348	46905	69404	4602.1	3858.4	3492.9	4325.6	4862.7	4797.9	4304	5585.1	5017.8	3342.6	3236.1	3471.4	3939.5	4483.6	3556.9	3662.3
P43003	1221.4	1754	1726.1	1593.4	960.86	1751.6	1724.8	1086.4	1714.1	1360.5	2022.8	2330	948.55	1271.9	709.65	1264.1	34334	23039	22471	19199	15052	33647	36952	27272	30315	17973	41691	28627	13933	10599	8278.4	29101	15885	10851	14756	14987	20616	9012.7	20449	12870	11556	15814	9878.2	11109	11801	10421	9752.7	15118
A0A087WT96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9H0W9	47799	58791	49917	110910	88783	97857	83284	92447	83261	64129	77029	102260	115510	78344	80306	78378	68318	57255	28188	64759	56542	110540	73905	105160	71671	87362	89119	86693	128780	35158	69711	79702	15429	14553	14234	31769	32351	22854	27276	28302	25392	19916	25081	27140	30166	25737	17784	22801
A0A087WTA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24265	26981	20612	17206	23244	24159	19049	20560	20162	21104	26174	22409	19763	26018	19586	25301	37912	38171	35814	40448	38923	24984	40706	37166	42392	48373	52843	45544	39584	35928	45095	52828
P08123	52930	55718	48265	47157	51914	84369	91528	73414	122840	46723	56350	63607	89319	61738	56087	70408	79630	76562	88965	112770	60613	68946	99451	63597	131480	152170	275570	225220	105050	374710	98347	111460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
