uniprot_acc	gene_id
P51451	hsa:640
A6H8Y1	hsa:55814
O60885	hsa:23476
Q9Y3X0	hsa:26093
P22223	hsa:1001
Q9BXJ4	hsa:114899
P09871	hsa:716
Q9ULX7	hsa:23632
Q53TS8	hsa:151254
Q01518	hsa:10487
Q5VVM6	hsa:728621
Q9BUK0	hsa:79145
Q9P2X3	hsa:55364
Q53TQ3	hsa:54891
Q8N5I3	hsa:283518
Q96MP8	hsa:154881
Q53RY4	hsa:200634
A8MX34	hsa:100533177
O60341	hsa:23028
P12532	hsa:1159
P12532	hsa:548596
Q8NBR6	hsa:54629
Q701N4	hsa:440021
Q9UJU2	hsa:51176
O75690	hsa:57830
Q5TCM9	hsa:254910
Q14533	hsa:3887
Q16787	hsa:3909
O76011	hsa:100653049
P55268	hsa:3913
P78385	hsa:3889
Q9BYZ2	hsa:92483
Q86WU2	hsa:197257
P14618	hsa:5315
Q9HCJ2	hsa:57689
Q3LI59	hsa:337978
P0C6S8	hsa:645191
P48059	hsa:3987
Q9UHB6	hsa:51474
Q643R3	hsa:254531
P16581	hsa:6401
Q8IV03	hsa:286343
P61326	hsa:4116
Q14CX5	hsa:79847
A1L020	hsa:92312
Q8N344	hsa:54531
Q9Y316	hsa:51072
Q96ES6	hsa:113655
Q2M2H8	hsa:93432
Q9H825	hsa:79828
Q9NVC6	hsa:9440
O75970	hsa:8777
Q96A32	hsa:29895
P53602	hsa:4597
P84157	hsa:439921
Q32M88	hsa:80162
Q5EBL8	hsa:51248
P08237	hsa:5213
Q13113	hsa:10158
A8MUH7	NA
O00151	hsa:9124
O15018	hsa:23037
O15534	hsa:5187
Q76G19	hsa:57595
Q01813	hsa:5214
Q96JY6	hsa:64236
Q53GG5	hsa:27295
P00558	hsa:5230
P50479	hsa:8572
P07205	hsa:5232
Q96HC4	hsa:10611
Q9NR12	hsa:9260
Q6NSW7	NA
Q5VZE5	hsa:60560
O15055	hsa:8864
Q8NBL1	hsa:56983
Q9P0J1	hsa:54704
Q9P2J9	hsa:57546
P36871	hsa:5236
Q8WWR9	hsa:492307
Q6PCE3	hsa:283209
Q96G03	hsa:55276
O15530	hsa:5170
P56645	hsa:8863
Q6A1A2	NA
Q15124	hsa:5239
Q86YL7	hsa:10630
Q8NCN5	hsa:55066
P00439	hsa:5053
P78562	hsa:5251
Q8WUB8	hsa:55274
Q9NUG6	hsa:81572
O00764	hsa:8566
