Uniprot_Acc	direction	FA3DOX.vs.FA3	FA3DOX.vs.FA3MKO	FA3MKO.vs.FA3	MB3MKO.vs.MB3	Entry name	Status	Protein names	Gene names	Organism	Length	Keywords
O14745	Up	Down	NA	Down	NA	NHRF1_HUMAN	reviewed	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)	SLC9A3R1 NHERF NHERF1	Homo sapiens (Human)	358	3D-structure;Acetylation;Alternative splicing;Cell membrane;Cell projection;Cytoplasm;Direct protein sequencing;Disease variant;Membrane;Phosphoprotein;Reference proteome;Repeat;Wnt signaling pathway
O43236	Up	Down	NA	Down	NA	SEPT4_HUMAN	reviewed	Septin-4 (Bradeion beta) (Brain protein H5) (CE5B3 beta) (Cell division control-related protein 2) (hCDCREL-2) (Peanut-like protein 2)	SEPTIN4 C17orf47 PNUTL2 SEP4 SEPT4 hucep-7	Homo sapiens (Human)	478	3D-structure;Alternative splicing;Cell cycle;Cell division;Cell junction;Cell projection;Cilium;Coiled coil;Cytoplasm;Cytoplasmic vesicle;Differentiation;Direct protein sequencing;Flagellum;GTP-binding;Mitochondrion;Nucleotide-binding;Nucleus;Phosphoprotein;Reference proteome;Spermatogenesis;Synapse;Ubl conjugation
O60271	Up	Down	Up	Down	NA	JIP4_HUMAN	reviewed	C-Jun-amino-terminal kinase-interacting protein 4 (JIP-4) (JNK-interacting protein 4) (Cancer/testis antigen 89) (CT89) (Human lung cancer oncogene 6 protein) (HLC-6) (JNK-associated leucine-zipper protein) (JLP) (Mitogen-activated protein kinase 8-interacting protein 4) (Proliferation-inducing protein 6) (Protein highly expressed in testis) (PHET) (Sperm surface protein) (Sperm-associated antigen 9) (Sperm-specific protein) (Sunday driver 1)	SPAG9 HSS KIAA0516 MAPK8IP4 SYD1 HLC6	Homo sapiens (Human)	1321	3D-structure;Acetylation;Alternative splicing;Coiled coil;Cytoplasm;Cytoplasmic vesicle;Lysosome;Membrane;Phosphoprotein;Reference proteome
P22570	Up	Down	NA	Down	Down	ADRO_HUMAN	reviewed	"NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)"	FDXR ADXR	Homo sapiens (Human)	491	Alternative splicing;Cholesterol metabolism;Deafness;Disease variant;Electron transport;FAD;Flavoprotein;Lipid metabolism;Membrane;Mitochondrion;Mitochondrion inner membrane;NADP;Neuropathy;Oxidoreductase;Phosphoprotein;Reference proteome;Steroid metabolism;Sterol metabolism;Transit peptide;Transport
P52292	Up	Down	NA	Down	Up	IMA1_HUMAN	reviewed	Importin subunit alpha-1 (Karyopherin subunit alpha-2) (RAG cohort protein 1) (SRP1-alpha)	KPNA2 RCH1 SRP1	Homo sapiens (Human)	529	3D-structure;Acetylation;Cytoplasm;Direct protein sequencing;Endoplasmic reticulum;Golgi apparatus;Host-virus interaction;Membrane;Nucleus;Phosphoprotein;Protein transport;Reference proteome;Repeat;Transport
Q14258	Up	Down	Up	Down	Up	TRI25_HUMAN	reviewed	E3 ubiquitin/ISG15 ligase TRIM25 (EC 6.3.2.n3) (Estrogen-responsive finger protein) (RING finger protein 147) (RING-type E3 ubiquitin transferase) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM25) (Tripartite motif-containing protein 25) (Ubiquitin/ISG15-conjugating enzyme TRIM25) (Zinc finger protein 147)	TRIM25 EFP RNF147 ZNF147	Homo sapiens (Human)	630	3D-structure;Acetylation;Antiviral defense;Coiled coil;Cytoplasm;Host-virus interaction;Immunity;Innate immunity;Isopeptide bond;Ligase;Metal-binding;Nucleus;Phosphoprotein;Reference proteome;Transferase;Ubl conjugation;Ubl conjugation pathway;Zinc;Zinc-finger
Q86X02	Up	Down	NA	Down	NA	CDR2L_HUMAN	reviewed	Cerebellar degeneration-related protein 2-like (Paraneoplastic 62 kDa antigen)	CDR2L HUMPPA	Homo sapiens (Human)	465	Coiled coil;Phosphoprotein;Reference proteome
Q8IY81	Up	Down	Up	Down	NA	SPB1_HUMAN	reviewed	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 (EC 2.1.1.-) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3)	FTSJ3 SB92	Homo sapiens (Human)	847	Citrullination;Coiled coil;Isopeptide bond;Methyltransferase;Nucleus;Phosphoprotein;Reference proteome;Ribosome biogenesis;S-adenosyl-L-methionine;Transferase;Ubl conjugation;rRNA processing
Q8N3C0	Up	Down	NA	Down	NA	ASCC3_HUMAN	reviewed	Activating signal cointegrator 1 complex subunit 3 (EC 3.6.4.12) (ASC-1 complex subunit p200) (ASC1p200) (Helicase, ATP binding 1) (Trip4 complex subunit p200)	ASCC3 HELIC1 RQT2	Homo sapiens (Human)	2202	3D-structure;ATP-binding;Acetylation;Alternative splicing;Coiled coil;Cytoplasm;DNA damage;DNA repair;Direct protein sequencing;Helicase;Hydrolase;Nucleotide-binding;Nucleus;Phosphoprotein;Reference proteome;Repeat;Transcription;Transcription regulation
Q8TAT6	Up	NA	Up	Down	Up	NPL4_HUMAN	reviewed	Nuclear protein localization protein 4 homolog (Protein NPL4)	NPLOC4 KIAA1499 NPL4	Homo sapiens (Human)	608	Acetylation;Alternative splicing;Chaperone;Cytoplasm;Direct protein sequencing;Endoplasmic reticulum;Metal-binding;Nucleus;Reference proteome;Ubl conjugation pathway;Zinc;Zinc-finger
